Date : 2022-01-14 11:34:21
Directory : c:\xampp_new\htdocs
Total : 917 files,  405173 codes, 23229 comments, 73654 blanks, all 502056 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
| c:\xampp_new\htdocs\www\elements-features.html                                       | Django HTML |      1,062 |          0 |        179 |      1,241 |
| c:\xampp_new\htdocs\www\elements-forms.html                                          | Django HTML |      1,002 |          0 |        212 |      1,214 |
| c:\xampp_new\htdocs\www\elements-grid.html                                           | Django HTML |        881 |          0 |        189 |      1,070 |
| c:\xampp_new\htdocs\www\elements-header-dark-transparent.html                        | Django HTML |        811 |          0 |        141 |        952 |
| c:\xampp_new\htdocs\www\elements-header-dark.html                                    | Django HTML |        805 |          0 |        139 |        944 |
| c:\xampp_new\htdocs\www\elements-header-white-transparent.html                       | Django HTML |        811 |          0 |        141 |        952 |
| c:\xampp_new\htdocs\www\elements-header-white.html                                   | Django HTML |        805 |          0 |        139 |        944 |
| c:\xampp_new\htdocs\www\elements-icons-et.html                                       | Django HTML |        924 |          0 |        150 |      1,074 |
| c:\xampp_new\htdocs\www\elements-icons-fe.html                                       | Django HTML |      2,900 |          0 |        147 |      3,047 |
| c:\xampp_new\htdocs\www\elements-images-lazyload.html                                | Django HTML |        816 |          0 |        139 |        955 |
| c:\xampp_new\htdocs\www\elements-messages.html                                       | Django HTML |        845 |          0 |        160 |      1,005 |
| c:\xampp_new\htdocs\www\elements-page-titles.html                                    | Django HTML |        966 |          0 |        205 |      1,171 |
| c:\xampp_new\htdocs\www\elements-sliders-lazyload.html                               | Django HTML |        887 |          0 |        171 |      1,058 |
| c:\xampp_new\htdocs\www\elements-sliders.html                                        | Django HTML |      1,181 |          0 |        233 |      1,414 |
| c:\xampp_new\htdocs\www\elements-tabs.html                                           | Django HTML |        888 |          0 |        177 |      1,065 |
| c:\xampp_new\htdocs\www\elements-typography.html                                     | Django HTML |        952 |          0 |        206 |      1,158 |
| c:\xampp_new\htdocs\www\elements-video-sound.html                                    | Django HTML |        825 |          0 |        156 |        981 |
| c:\xampp_new\htdocs\www\fonts\et-line.svg                                            | XML         |      1,214 |          0 |          0 |      1,214 |
| c:\xampp_new\htdocs\www\fonts\fontawesome-webfont.svg                                | XML         |      2,671 |          0 |          1 |      2,672 |
| c:\xampp_new\htdocs\www\index-01.html                                                | Django HTML |      1,028 |          0 |        245 |      1,273 |
| c:\xampp_new\htdocs\www\index-02.html                                                | Django HTML |      1,028 |          0 |        245 |      1,273 |
| c:\xampp_new\htdocs\www\index-03.html                                                | Django HTML |      1,032 |          0 |        246 |      1,278 |
| c:\xampp_new\htdocs\www\index-04.html                                                | Django HTML |      1,032 |          0 |        246 |      1,278 |
| c:\xampp_new\htdocs\www\index-05.html                                                | Django HTML |      1,036 |          0 |        246 |      1,282 |
| c:\xampp_new\htdocs\www\index-06.html                                                | Django HTML |      1,032 |          0 |        246 |      1,278 |
| c:\xampp_new\htdocs\www\index-07.html                                                | Django HTML |      1,075 |          0 |        261 |      1,336 |
| c:\xampp_new\htdocs\www\index-08.html                                                | Django HTML |      1,075 |          0 |        261 |      1,336 |
| c:\xampp_new\htdocs\www\index-09.html                                                | Django HTML |      1,075 |          0 |        261 |      1,336 |
| c:\xampp_new\htdocs\www\index-10.html                                                | Django HTML |      1,054 |          0 |        249 |      1,303 |
| c:\xampp_new\htdocs\www\index-11.html                                                | Django HTML |      1,030 |          0 |        246 |      1,276 |
| c:\xampp_new\htdocs\www\index-12.html                                                | Django HTML |      1,027 |          0 |        245 |      1,272 |
| c:\xampp_new\htdocs\www\index-13.html                                                | Django HTML |      1,033 |          0 |        247 |      1,280 |
| c:\xampp_new\htdocs\www\index-14.html                                                | Django HTML |      1,033 |          0 |        246 |      1,279 |
| c:\xampp_new\htdocs\www\index-15.html                                                | Django HTML |      1,042 |          0 |        247 |      1,289 |
| c:\xampp_new\htdocs\www\index-16.html                                                | Django HTML |        996 |          0 |        237 |      1,233 |
| c:\xampp_new\htdocs\www\index-17.html                                                | Django HTML |      1,246 |          0 |        333 |      1,579 |
| c:\xampp_new\htdocs\www\index-18.html                                                | Django HTML |      1,246 |          0 |        333 |      1,579 |
| c:\xampp_new\htdocs\www\index-19.html                                                | Django HTML |      1,044 |          0 |        248 |      1,292 |
| c:\xampp_new\htdocs\www\index-20.html                                                | Django HTML |      1,067 |          0 |        263 |      1,330 |
| c:\xampp_new\htdocs\www\index.html                                                   | Django HTML |      1,028 |          0 |        244 |      1,272 |
| c:\xampp_new\htdocs\www\intro.html                                                   | Django HTML |      1,759 |          0 |        447 |      2,206 |
| c:\xampp_new\htdocs\www\js\SmoothScroll.js                                           | JavaScript  |          1 |          0 |          0 |          1 |
| c:\xampp_new\htdocs\www\js\all.js                                                    | JavaScript  |      1,248 |        197 |        312 |      1,757 |
| c:\xampp_new\htdocs\www\js\bootstrap.bundle.min.js                                   | JavaScript  |          1 |          6 |          0 |          7 |
| c:\xampp_new\htdocs\www\js\bootstrap.min.js                                          | JavaScript  |          1 |          8 |          2 |         11 |
| c:\xampp_new\htdocs\www\js\contact-form.js                                           | JavaScript  |         43 |         12 |         14 |         69 |
| c:\xampp_new\htdocs\www\js\contact-reservations-form.js                              | JavaScript  |         43 |         12 |         13 |         68 |
| c:\xampp_new\htdocs\www\js\imagesloaded.pkgd.min.js                                  | JavaScript  |          1 |          5 |          1 |          7 |
| c:\xampp_new\htdocs\www\js\isotope.pkgd.min.js                                       | JavaScript  |          2 |          9 |          1 |         12 |
| c:\xampp_new\htdocs\www\js\jquery-1.11.2.min.js                                      | JavaScript  |          3 |          1 |          1 |          5 |
| c:\xampp_new\htdocs\www\js\jquery-3.5.1.min.js                                       | JavaScript  |          1 |          1 |          1 |          3 |
| c:\xampp_new\htdocs\www\js\jquery-migrate-1.4.1.min.js                               | JavaScript  |          1 |          1 |          0 |          2 |
| c:\xampp_new\htdocs\www\js\jquery.ajaxchimp.min.js                                   | JavaScript  |          9 |          0 |          4 |         13 |
