"filename", "language", "PHP", "Markdown", "XML", "Django HTML", "CSS", "JavaScript", "Django txt", "Python", "SQL", "YAML", "JSON", "comment", "blank", "total"
"c:\xampp_new\htdocs\old\admin\adminer\adminer\drivers\oracle.inc.php", "PHP", 361, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 68, 434
"c:\xampp_new\htdocs\old\admin\adminer\adminer\drivers\pgsql.inc.php", "PHP", 746, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 116, 877
"c:\xampp_new\htdocs\old\admin\adminer\adminer\drivers\simpledb.inc.php", "PHP", 419, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 64, 485
"c:\xampp_new\htdocs\old\admin\adminer\adminer\drivers\sqlite.inc.php", "PHP", 700, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 99, 804
"c:\xampp_new\htdocs\old\admin\adminer\adminer\dump.inc.php", "PHP", 200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 225
"c:\xampp_new\htdocs\old\admin\adminer\adminer\edit.inc.php", "PHP", 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 118
"c:\xampp_new\htdocs\old\admin\adminer\adminer\event.inc.php", "PHP", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 53
"c:\xampp_new\htdocs\old\admin\adminer\adminer\file.inc.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 27
"c:\xampp_new\htdocs\old\admin\adminer\adminer\foreign.inc.php", "PHP", 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 108
"c:\xampp_new\htdocs\old\admin\adminer\adminer\include\adminer.inc.php", "PHP", 702, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 288, 69, 1059
"c:\xampp_new\htdocs\old\admin\adminer\adminer\include\auth.inc.php", "PHP", 188, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17, 210
"c:\xampp_new\htdocs\old\admin\adminer\adminer\include\bootstrap.inc.php", "PHP", 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16, 108
"c:\xampp_new\htdocs\old\admin\adminer\adminer\include\connect.inc.php", "PHP", 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 103
"c:\xampp_new\htdocs\old\admin\adminer\adminer\include\coverage.inc.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 19
"c:\xampp_new\htdocs\old\admin\adminer\adminer\include\design.inc.php", "PHP", 162, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 10, 196
"c:\xampp_new\htdocs\old\admin\adminer\adminer\include\driver.inc.php", "PHP", 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 18, 169
"c:\xampp_new\htdocs\old\admin\adminer\adminer\include\editing.inc.php", "PHP", 411, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 142, 27, 580
"c:\xampp_new\htdocs\old\admin\adminer\adminer\include\functions.inc.php", "PHP", 966, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 446, 93, 1505
"c:\xampp_new\htdocs\old\admin\adminer\adminer\include\lang.inc.php", "PHP", 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 7, 128
"c:\xampp_new\htdocs\old\admin\adminer\adminer\include\pdo.inc.php", "PHP", 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15, 105
"c:\xampp_new\htdocs\old\admin\adminer\adminer\include\tmpfile.inc.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 23
"c:\xampp_new\htdocs\old\admin\adminer\adminer\include\version.inc.php", "PHP", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\xampp_new\htdocs\old\admin\adminer\adminer\include\xxtea.inc.php", "PHP", 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 7, 108
"c:\xampp_new\htdocs\old\admin\adminer\adminer\index.php", "PHP", 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 6, 80
"c:\xampp_new\htdocs\old\admin\adminer\adminer\indexes.inc.php", "PHP", 136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 147
"c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\ar.inc.php", "PHP", 267, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 268
"c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\bg.inc.php", "PHP", 291, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 30, 337
"c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\bn.inc.php", "PHP", 267, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 268
"c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\bs.inc.php", "PHP", 276, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 30, 322
"c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\ca.inc.php", "PHP", 268, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 269
"c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\cs.inc.php", "PHP", 304, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 30, 350
"c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\da.inc.php", "PHP", 282, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 283
"c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\de.inc.php", "PHP", 289, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 290
"c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\el.inc.php", "PHP", 291, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 30, 337
"c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\en.inc.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\es.inc.php", "PHP", 268, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 269
"c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\et.inc.php", "PHP", 268, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 269
"c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\fa.inc.php", "PHP", 289, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 30, 335
"c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\fi.inc.php", "PHP", 304, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 31, 351
"c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\fr.inc.php", "PHP", 291, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 292
"c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\gl.inc.php", "PHP", 291, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 292
"c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\he.inc.php", "PHP", 293, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 294
"c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\hu.inc.php", "PHP", 267, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 268
"c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\id.inc.php", "PHP", 271, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 30, 317
"c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\it.inc.php", "PHP", 268, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 269
"c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\ja.inc.php", "PHP", 277, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 278
"c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\ka.inc.php", "PHP", 303, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 304
"c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\ko.inc.php", "PHP", 267, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 268
"c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\lt.inc.php", "PHP", 267, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 30, 313
"c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\ms.inc.php", "PHP", 295, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 30, 341
"c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\nl.inc.php", "PHP", 268, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 269
"c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\no.inc.php", "PHP", 282, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 283
"c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\pl.inc.php", "PHP", 295, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 30, 341
"c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\pt-br.inc.php", "PHP", 263, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 264
"c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\pt.inc.php", "PHP", 263, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 264
"c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\ro.inc.php", "PHP", 268, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 269
"c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\ru.inc.php", "PHP", 292, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 293
"c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\sk.inc.php", "PHP", 268, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 269
"c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\sl.inc.php", "PHP", 265, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 29, 308
"c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\sr.inc.php", "PHP", 274, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 30, 320
"c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\sv.inc.php", "PHP", 304, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 30, 350
"c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\ta.inc.php", "PHP", 267, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 268
"c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\th.inc.php", "PHP", 268, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 269
"c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\tr.inc.php", "PHP", 298, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 30, 344
"c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\uk.inc.php", "PHP", 271, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 30, 317
"c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\vi.inc.php", "PHP", 284, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 29, 329
"c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\xx.inc.php", "PHP", 304, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 30, 350
"c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\zh-tw.inc.php", "PHP", 304, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 30, 350
"c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\zh.inc.php", "PHP", 304, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 30, 350
"c:\xampp_new\htdocs\old\admin\adminer\adminer\plugin.php", "PHP", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 4, 44
"c:\xampp_new\htdocs\old\admin\adminer\adminer\privileges.inc.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 30
"c:\xampp_new\htdocs\old\admin\adminer\adminer\procedure.inc.php", "PHP", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 59
"c:\xampp_new\htdocs\old\admin\adminer\adminer\processlist.inc.php", "PHP", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 60
"c:\xampp_new\htdocs\old\admin\adminer\adminer\schema.inc.php", "PHP", 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 111
"c:\xampp_new\htdocs\old\admin\adminer\adminer\scheme.inc.php", "PHP", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 39
"c:\xampp_new\htdocs\old\admin\adminer\adminer\script.inc.php", "PHP", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 46
"c:\xampp_new\htdocs\old\admin\adminer\adminer\select.inc.php", "PHP", 545, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 39, 590
