Date : 2022-01-10 17:20:23
Directory : c:\xampp_new\htdocs\old
Total : 555 files,  156571 codes, 14759 comments, 25419 blanks, all 196749 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\xampp_new\htdocs\old\admin\adminer\adminer\indexes.inc.php                        | PHP        |        136 |          2 |          9 |        147 |
| c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\ar.inc.php                        | PHP        |        267 |          0 |          1 |        268 |
| c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\bg.inc.php                        | PHP        |        291 |         16 |         30 |        337 |
| c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\bn.inc.php                        | PHP        |        267 |          0 |          1 |        268 |
| c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\bs.inc.php                        | PHP        |        276 |         16 |         30 |        322 |
| c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\ca.inc.php                        | PHP        |        268 |          0 |          1 |        269 |
| c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\cs.inc.php                        | PHP        |        304 |         16 |         30 |        350 |
| c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\da.inc.php                        | PHP        |        282 |          0 |          1 |        283 |
| c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\de.inc.php                        | PHP        |        289 |          0 |          1 |        290 |
| c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\el.inc.php                        | PHP        |        291 |         16 |         30 |        337 |
| c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\en.inc.php                        | PHP        |         15 |          0 |          1 |         16 |
| c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\es.inc.php                        | PHP        |        268 |          0 |          1 |        269 |
| c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\et.inc.php                        | PHP        |        268 |          0 |          1 |        269 |
| c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\fa.inc.php                        | PHP        |        289 |         16 |         30 |        335 |
| c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\fi.inc.php                        | PHP        |        304 |         16 |         31 |        351 |
| c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\fr.inc.php                        | PHP        |        291 |          0 |          1 |        292 |
| c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\gl.inc.php                        | PHP        |        291 |          0 |          1 |        292 |
| c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\he.inc.php                        | PHP        |        293 |          0 |          1 |        294 |
| c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\hu.inc.php                        | PHP        |        267 |          0 |          1 |        268 |
| c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\id.inc.php                        | PHP        |        271 |         16 |         30 |        317 |
| c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\it.inc.php                        | PHP        |        268 |          0 |          1 |        269 |
| c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\ja.inc.php                        | PHP        |        277 |          0 |          1 |        278 |
| c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\ka.inc.php                        | PHP        |        303 |          0 |          1 |        304 |
| c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\ko.inc.php                        | PHP        |        267 |          0 |          1 |        268 |
| c:\xampp_new\htdocs\old\admin\adminer\adminer\lang\lt.inc.php                        | PHP        |        267 |         16 |         30 |        313 |
