"filename", "language", "HTML", "PHP", "XML", "JavaScript", "CSS", "comment", "blank", "total"
"c:\xampp_new\htdocs\www\index-03.html", "HTML", 893, 0, 0, 0, 0, 139, 246, 1278
"c:\xampp_new\htdocs\www\index-04.html", "HTML", 893, 0, 0, 0, 0, 139, 246, 1278
"c:\xampp_new\htdocs\www\index-05.html", "HTML", 897, 0, 0, 0, 0, 139, 246, 1282
"c:\xampp_new\htdocs\www\index-06.html", "HTML", 893, 0, 0, 0, 0, 139, 246, 1278
"c:\xampp_new\htdocs\www\index-07.html", "HTML", 928, 0, 0, 0, 0, 147, 261, 1336
"c:\xampp_new\htdocs\www\index-08.html", "HTML", 928, 0, 0, 0, 0, 147, 261, 1336
"c:\xampp_new\htdocs\www\index-09.html", "HTML", 928, 0, 0, 0, 0, 147, 261, 1336
"c:\xampp_new\htdocs\www\index-10.html", "HTML", 907, 0, 0, 0, 0, 147, 249, 1303
"c:\xampp_new\htdocs\www\index-11.html", "HTML", 891, 0, 0, 0, 0, 139, 246, 1276
"c:\xampp_new\htdocs\www\index-12.html", "HTML", 890, 0, 0, 0, 0, 137, 245, 1272
"c:\xampp_new\htdocs\www\index-13.html", "HTML", 894, 0, 0, 0, 0, 139, 247, 1280
"c:\xampp_new\htdocs\www\index-14.html", "HTML", 894, 0, 0, 0, 0, 139, 246, 1279
"c:\xampp_new\htdocs\www\index-15.html", "HTML", 901, 0, 0, 0, 0, 141, 247, 1289
"c:\xampp_new\htdocs\www\index-16.html", "HTML", 863, 0, 0, 0, 0, 133, 237, 1233
"c:\xampp_new\htdocs\www\index-17.html", "HTML", 1103, 0, 0, 0, 0, 143, 333, 1579
"c:\xampp_new\htdocs\www\index-18.html", "HTML", 1103, 0, 0, 0, 0, 143, 333, 1579
"c:\xampp_new\htdocs\www\index-19.html", "HTML", 902, 0, 0, 0, 0, 142, 248, 1292
"c:\xampp_new\htdocs\www\index-20.html", "HTML", 918, 0, 0, 0, 0, 149, 263, 1330
"c:\xampp_new\htdocs\www\index.html", "HTML", 888, 0, 0, 0, 0, 140, 244, 1272
"c:\xampp_new\htdocs\www\intro.html", "HTML", 1516, 0, 0, 0, 0, 243, 447, 2206
"c:\xampp_new\htdocs\www\js\SmoothScroll.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 1
"c:\xampp_new\htdocs\www\js\all.js", "JavaScript", 0, 0, 0, 1248, 0, 197, 312, 1757
"c:\xampp_new\htdocs\www\js\bootstrap.bundle.min.js", "JavaScript", 0, 0, 0, 1, 0, 6, 0, 7
"c:\xampp_new\htdocs\www\js\bootstrap.min.js", "JavaScript", 0, 0, 0, 1, 0, 8, 2, 11
"c:\xampp_new\htdocs\www\js\contact-form.js", "JavaScript", 0, 0, 0, 43, 0, 12, 14, 69
"c:\xampp_new\htdocs\www\js\contact-reservations-form.js", "JavaScript", 0, 0, 0, 43, 0, 12, 13, 68
"c:\xampp_new\htdocs\www\js\imagesloaded.pkgd.min.js", "JavaScript", 0, 0, 0, 1, 0, 5, 1, 7
"c:\xampp_new\htdocs\www\js\isotope.pkgd.min.js", "JavaScript", 0, 0, 0, 2, 0, 9, 1, 12
"c:\xampp_new\htdocs\www\js\jquery-1.11.2.min.js", "JavaScript", 0, 0, 0, 3, 0, 1, 1, 5
"c:\xampp_new\htdocs\www\js\jquery-3.5.1.min.js", "JavaScript", 0, 0, 0, 1, 0, 1, 1, 3
"c:\xampp_new\htdocs\www\js\jquery-migrate-1.4.1.min.js", "JavaScript", 0, 0, 0, 1, 0, 1, 0, 2
"c:\xampp_new\htdocs\www\js\jquery.ajaxchimp.min.js", "JavaScript", 0, 0, 0, 9, 0, 0, 4, 13
"c:\xampp_new\htdocs\www\js\jquery.appear.js", "JavaScript", 0, 0, 0, 1, 0, 9, 0, 10
"c:\xampp_new\htdocs\www\js\jquery.backgroundvideo.min.js", "JavaScript", 0, 0, 0, 34, 0, 8, 7, 49
"c:\xampp_new\htdocs\www\js\jquery.countTo.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 1
"c:\xampp_new\htdocs\www\js\jquery.downCount.js", "JavaScript", 0, 0, 0, 68, 0, 27, 27, 122
"c:\xampp_new\htdocs\www\js\jquery.easing.1.3.js", "JavaScript", 0, 0, 0, 8, 0, 0, 0, 8
"c:\xampp_new\htdocs\www\js\jquery.fitvids.js", "JavaScript", 0, 0, 0, 60, 0, 11, 11, 82
"c:\xampp_new\htdocs\www\js\jquery.lazyload.min.js", "JavaScript", 0, 0, 0, 16, 0, 1, 1, 18
"c:\xampp_new\htdocs\www\js\jquery.localScroll.min.js", "JavaScript", 0, 0, 0, 1, 0, 6, 0, 7
"c:\xampp_new\htdocs\www\js\jquery.magnific-popup.min.js", "JavaScript", 0, 0, 0, 1, 0, 3, 0, 4
"c:\xampp_new\htdocs\www\js\jquery.mb.YTPlayer.js", "JavaScript", 0, 0, 0, 4, 0, 8, 3, 15
"c:\xampp_new\htdocs\www\js\jquery.parallax-1.1.3.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 1
"c:\xampp_new\htdocs\www\js\jquery.scrollTo.min.js", "JavaScript", 0, 0, 0, 1, 0, 6, 0, 7
