Date : 2022-01-06 10:04:09
Directory : c:\xampp_new\htdocs\www
Total : 270 files,  195118 codes, 28085 comments, 43323 blanks, all 266526 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\xampp_new\htdocs\www\elements-messages.html                           | HTML       |        757 |         88 |        160 |      1,005 |
| c:\xampp_new\htdocs\www\elements-page-titles.html                        | HTML       |        872 |         94 |        205 |      1,171 |
| c:\xampp_new\htdocs\www\elements-sliders-lazyload.html                   | HTML       |        793 |         94 |        171 |      1,058 |
| c:\xampp_new\htdocs\www\elements-sliders.html                            | HTML       |      1,033 |        148 |        233 |      1,414 |
| c:\xampp_new\htdocs\www\elements-tabs.html                               | HTML       |        792 |         96 |        177 |      1,065 |
| c:\xampp_new\htdocs\www\elements-typography.html                         | HTML       |        842 |        110 |        206 |      1,158 |
| c:\xampp_new\htdocs\www\elements-video-sound.html                        | HTML       |        739 |         86 |        156 |        981 |
| c:\xampp_new\htdocs\www\fonts\et-line.svg                                | XML        |      1,214 |          0 |          0 |      1,214 |
| c:\xampp_new\htdocs\www\fonts\fontawesome-webfont.svg                    | XML        |      2,671 |          0 |          1 |      2,672 |
| c:\xampp_new\htdocs\www\index-01.html                                    | HTML       |        889 |        139 |        245 |      1,273 |
| c:\xampp_new\htdocs\www\index-02.html                                    | HTML       |        889 |        139 |        245 |      1,273 |
| c:\xampp_new\htdocs\www\index-03.html                                    | HTML       |        893 |        139 |        246 |      1,278 |
| c:\xampp_new\htdocs\www\index-04.html                                    | HTML       |        893 |        139 |        246 |      1,278 |
| c:\xampp_new\htdocs\www\index-05.html                                    | HTML       |        897 |        139 |        246 |      1,282 |
| c:\xampp_new\htdocs\www\index-06.html                                    | HTML       |        893 |        139 |        246 |      1,278 |
| c:\xampp_new\htdocs\www\index-07.html                                    | HTML       |        928 |        147 |        261 |      1,336 |
| c:\xampp_new\htdocs\www\index-08.html                                    | HTML       |        928 |        147 |        261 |      1,336 |
| c:\xampp_new\htdocs\www\index-09.html                                    | HTML       |        928 |        147 |        261 |      1,336 |
| c:\xampp_new\htdocs\www\index-10.html                                    | HTML       |        907 |        147 |        249 |      1,303 |
| c:\xampp_new\htdocs\www\index-11.html                                    | HTML       |        891 |        139 |        246 |      1,276 |
| c:\xampp_new\htdocs\www\index-12.html                                    | HTML       |        890 |        137 |        245 |      1,272 |
| c:\xampp_new\htdocs\www\index-13.html                                    | HTML       |        894 |        139 |        247 |      1,280 |
| c:\xampp_new\htdocs\www\index-14.html                                    | HTML       |        894 |        139 |        246 |      1,279 |
| c:\xampp_new\htdocs\www\index-15.html                                    | HTML       |        901 |        141 |        247 |      1,289 |
| c:\xampp_new\htdocs\www\index-16.html                                    | HTML       |        863 |        133 |        237 |      1,233 |
| c:\xampp_new\htdocs\www\index-17.html                                    | HTML       |      1,103 |        143 |        333 |      1,579 |
| c:\xampp_new\htdocs\www\index-18.html                                    | HTML       |      1,103 |        143 |        333 |      1,579 |
| c:\xampp_new\htdocs\www\index-19.html                                    | HTML       |        902 |        142 |        248 |      1,292 |
| c:\xampp_new\htdocs\www\index-20.html                                    | HTML       |        918 |        149 |        263 |      1,330 |
| c:\xampp_new\htdocs\www\index.html                                       | HTML       |        888 |        140 |        244 |      1,272 |
| c:\xampp_new\htdocs\www\intro.html                                       | HTML       |      1,516 |        243 |        447 |      2,206 |
| c:\xampp_new\htdocs\www\js\SmoothScroll.js                               | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp_new\htdocs\www\js\all.js                                        | JavaScript |      1,248 |        197 |        312 |      1,757 |
| c:\xampp_new\htdocs\www\js\bootstrap.bundle.min.js                       | JavaScript |          1 |          6 |          0 |          7 |
| c:\xampp_new\htdocs\www\js\bootstrap.min.js                              | JavaScript |          1 |          8 |          2 |         11 |
| c:\xampp_new\htdocs\www\js\contact-form.js                               | JavaScript |         43 |         12 |         14 |         69 |
| c:\xampp_new\htdocs\www\js\contact-reservations-form.js                  | JavaScript |         43 |         12 |         13 |         68 |
| c:\xampp_new\htdocs\www\js\imagesloaded.pkgd.min.js                      | JavaScript |          1 |          5 |          1 |          7 |
| c:\xampp_new\htdocs\www\js\isotope.pkgd.min.js                           | JavaScript |          2 |          9 |          1 |         12 |
| c:\xampp_new\htdocs\www\js\jquery-1.11.2.min.js                          | JavaScript |          3 |          1 |          1 |          5 |
| c:\xampp_new\htdocs\www\js\jquery-3.5.1.min.js                           | JavaScript |          1 |          1 |          1 |          3 |
| c:\xampp_new\htdocs\www\js\jquery-migrate-1.4.1.min.js                   | JavaScript |          1 |          1 |          0 |          2 |
| c:\xampp_new\htdocs\www\js\jquery.ajaxchimp.min.js                       | JavaScript |          9 |          0 |          4 |         13 |
| c:\xampp_new\htdocs\www\js\jquery.appear.js                              | JavaScript |          1 |          9 |          0 |         10 |
| c:\xampp_new\htdocs\www\js\jquery.backgroundvideo.min.js                 | JavaScript |         34 |          8 |          7 |         49 |
| c:\xampp_new\htdocs\www\js\jquery.countTo.js                             | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp_new\htdocs\www\js\jquery.downCount.js                           | JavaScript |         68 |         27 |         27 |        122 |
| c:\xampp_new\htdocs\www\js\jquery.easing.1.3.js                          | JavaScript |          8 |          0 |          0 |          8 |
| c:\xampp_new\htdocs\www\js\jquery.fitvids.js                             | JavaScript |         60 |         11 |         11 |         82 |
| c:\xampp_new\htdocs\www\js\jquery.lazyload.min.js                        | JavaScript |         16 |          1 |          1 |         18 |
| c:\xampp_new\htdocs\www\js\jquery.localScroll.min.js                     | JavaScript |          1 |          6 |          0 |          7 |
| c:\xampp_new\htdocs\www\js\jquery.magnific-popup.min.js                  | JavaScript |          1 |          3 |          0 |          4 |
| c:\xampp_new\htdocs\www\js\jquery.mb.YTPlayer.js                         | JavaScript |          4 |          8 |          3 |         15 |
| c:\xampp_new\htdocs\www\js\jquery.parallax-1.1.3.js                      | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp_new\htdocs\www\js\jquery.scrollTo.min.js                        | JavaScript |          1 |          6 |          0 |          7 |
| c:\xampp_new\htdocs\www\js\jquery.simple-text-rotator.min.js             | JavaScript |         15 |          1 |          1 |         17 |
| c:\xampp_new\htdocs\www\js\jquery.sticky.js                              | JavaScript |        181 |         15 |         22 |        218 |
| c:\xampp_new\htdocs\www\js\jquery.viewport.mini.js                       | JavaScript |          1 |          0 |          1 |          2 |
| c:\xampp_new\htdocs\www\js\masonry.pkgd.min.js                           | JavaScript |          1 |          7 |          1 |          9 |
| c:\xampp_new\htdocs\www\js\morphext.js                                   | JavaScript |         15 |          0 |          0 |         15 |
| c:\xampp_new\htdocs\www\js\owl.carousel.min.js                           | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp_new\htdocs\www\js\placeholder.js                                | JavaScript |         99 |         13 |         49 |        161 |
| c:\xampp_new\htdocs\www\js\rev-slider.js                                 | JavaScript |        113 |          1 |         36 |        150 |
| c:\xampp_new\htdocs\www\js\tiltfx.js                                     | JavaScript |        169 |         52 |         29 |        250 |
| c:\xampp_new\htdocs\www\js\wow.min.js                                    | JavaScript |          1 |          3 |          1 |          5 |
| c:\xampp_new\htdocs\www\mp-index-01.html                                 | HTML       |      1,611 |        227 |        350 |      2,188 |
| c:\xampp_new\htdocs\www\mp-index-02.html                                 | HTML       |      1,611 |        227 |        350 |      2,188 |
| c:\xampp_new\htdocs\www\mp-index-03.html                                 | HTML       |      1,615 |        227 |        351 |      2,193 |
| c:\xampp_new\htdocs\www\mp-index-04.html                                 | HTML       |      1,615 |        227 |        351 |      2,193 |
| c:\xampp_new\htdocs\www\mp-index-05.html                                 | HTML       |      1,619 |        227 |        351 |      2,197 |
| c:\xampp_new\htdocs\www\mp-index-06.html                                 | HTML       |      1,615 |        227 |        351 |      2,193 |
| c:\xampp_new\htdocs\www\mp-index-07.html                                 | HTML       |      1,650 |        235 |        366 |      2,251 |
| c:\xampp_new\htdocs\www\mp-index-08.html                                 | HTML       |      1,650 |        235 |        366 |      2,251 |
| c:\xampp_new\htdocs\www\mp-index-09.html                                 | HTML       |      1,650 |        235 |        366 |      2,251 |
| c:\xampp_new\htdocs\www\mp-index-10.html                                 | HTML       |      1,629 |        235 |        354 |      2,218 |
| c:\xampp_new\htdocs\www\mp-index-11.html                                 | HTML       |      1,613 |        227 |        351 |      2,191 |
| c:\xampp_new\htdocs\www\mp-index-12.html                                 | HTML       |      1,612 |        225 |        350 |      2,187 |
| c:\xampp_new\htdocs\www\mp-index-13.html                                 | HTML       |      1,616 |        227 |        353 |      2,196 |
| c:\xampp_new\htdocs\www\mp-index-14.html                                 | HTML       |      1,616 |        227 |        353 |      2,196 |
| c:\xampp_new\htdocs\www\mp-index-15.html                                 | HTML       |      1,623 |        229 |        354 |      2,206 |
| c:\xampp_new\htdocs\www\mp-index-16.html                                 | HTML       |      1,633 |        229 |        346 |      2,208 |
| c:\xampp_new\htdocs\www\mp-index-17.html                                 | HTML       |      1,826 |        231 |        438 |      2,495 |
| c:\xampp_new\htdocs\www\mp-index-18.html                                 | HTML       |      1,826 |        231 |        438 |      2,495 |
| c:\xampp_new\htdocs\www\mp-index-19.html                                 | HTML       |      1,624 |        230 |        354 |      2,208 |
| c:\xampp_new\htdocs\www\mp-index-20.html                                 | HTML       |      1,640 |        237 |        368 |      2,245 |
| c:\xampp_new\htdocs\www\mp-index.html                                    | HTML       |      1,610 |        227 |        350 |      2,187 |
| c:\xampp_new\htdocs\www\pages-404.html                                   | HTML       |        117 |         37 |         37 |        191 |
| c:\xampp_new\htdocs\www\pages-about-1.html                               | HTML       |        969 |        124 |        217 |      1,310 |
| c:\xampp_new\htdocs\www\pages-about-2.html                               | HTML       |      1,070 |        147 |        251 |      1,468 |
| c:\xampp_new\htdocs\www\pages-about-3.html                               | HTML       |      1,050 |        147 |        259 |      1,456 |
| c:\xampp_new\htdocs\www\pages-account.html                               | HTML       |        786 |         92 |        173 |      1,051 |
| c:\xampp_new\htdocs\www\pages-clients.html                               | HTML       |        959 |        133 |        184 |      1,276 |
| c:\xampp_new\htdocs\www\pages-contact-1.html                             | HTML       |        817 |         91 |        174 |      1,082 |
| c:\xampp_new\htdocs\www\pages-contact-2.html                             | HTML       |        810 |         91 |        170 |      1,071 |
| c:\xampp_new\htdocs\www\pages-faq-1.html                                 | HTML       |        769 |         78 |        149 |        996 |
| c:\xampp_new\htdocs\www\pages-faq-2.html                                 | HTML       |        775 |         80 |        158 |      1,013 |
| c:\xampp_new\htdocs\www\pages-gallery-1col.html                          | HTML       |        739 |         88 |        144 |        971 |
| c:\xampp_new\htdocs\www\pages-gallery-2col.html                          | HTML       |        763 |         94 |        164 |      1,021 |
| c:\xampp_new\htdocs\www\pages-gallery-3col.html                          | HTML       |        783 |        102 |        176 |      1,061 |
| c:\xampp_new\htdocs\www\pages-gallery-4col.html                          | HTML       |        803 |        110 |        188 |      1,101 |
| c:\xampp_new\htdocs\www\pages-gallery-6col.html                          | HTML       |        803 |        110 |        188 |      1,101 |
| c:\xampp_new\htdocs\www\pages-landing.html                               | HTML       |        969 |        130 |        222 |      1,321 |
| c:\xampp_new\htdocs\www\pages-pricing-1.html                             | HTML       |        849 |         98 |        182 |      1,129 |
| c:\xampp_new\htdocs\www\pages-pricing-2.html                             | HTML       |        880 |        104 |        192 |      1,176 |
| c:\xampp_new\htdocs\www\pages-services-1.html                            | HTML       |        970 |        102 |        185 |      1,257 |
| c:\xampp_new\htdocs\www\pages-services-2.html                            | HTML       |        864 |         96 |        166 |      1,126 |
| c:\xampp_new\htdocs\www\pages-services-3.html                            | HTML       |        859 |        100 |        183 |      1,142 |
| c:\xampp_new\htdocs\www\pages-team-1.html                                | HTML       |        870 |         96 |        198 |      1,164 |
| c:\xampp_new\htdocs\www\pages-team-2.html                                | HTML       |        896 |         98 |        211 |      1,205 |
| c:\xampp_new\htdocs\www\pages-under-construction.html                    | HTML       |        117 |         37 |         37 |        191 |
| c:\xampp_new\htdocs\www\php\PHPMailer.php                                | PHP        |      2,745 |      1,836 |        370 |      4,951 |
| c:\xampp_new\htdocs\www\php\SMTP.php                                     | PHP        |        718 |        598 |        141 |      1,457 |
| c:\xampp_new\htdocs\www\portfolio-boxed-2col.html                        | HTML       |        817 |         94 |        151 |      1,062 |
| c:\xampp_new\htdocs\www\portfolio-boxed-3col.html                        | HTML       |        895 |        106 |        157 |      1,158 |
| c:\xampp_new\htdocs\www\portfolio-boxed-4col.html                        | HTML       |        947 |        114 |        161 |      1,222 |
| c:\xampp_new\htdocs\www\portfolio-boxed-5col.html                        | HTML       |        934 |        112 |        160 |      1,206 |
| c:\xampp_new\htdocs\www\portfolio-boxed-blackhover.html                  | HTML       |        947 |        114 |        161 |      1,222 |
| c:\xampp_new\htdocs\www\portfolio-boxed-gutter-2col.html                 | HTML       |        817 |         94 |        151 |      1,062 |
| c:\xampp_new\htdocs\www\portfolio-boxed-gutter-3col.html                 | HTML       |        895 |        106 |        157 |      1,158 |
| c:\xampp_new\htdocs\www\portfolio-boxed-gutter-4col.html                 | HTML       |        947 |        114 |        161 |      1,222 |
| c:\xampp_new\htdocs\www\portfolio-boxed-gutter-5col.html                 | HTML       |        934 |        112 |        160 |      1,206 |
| c:\xampp_new\htdocs\www\portfolio-boxed-gutter-blackhover.html           | HTML       |        947 |        114 |        161 |      1,222 |
| c:\xampp_new\htdocs\www\portfolio-boxed-titles-2col.html                 | HTML       |        817 |         94 |        151 |      1,062 |
| c:\xampp_new\htdocs\www\portfolio-boxed-titles-3col.html                 | HTML       |        895 |        106 |        157 |      1,158 |
| c:\xampp_new\htdocs\www\portfolio-boxed-titles-4col.html                 | HTML       |        947 |        114 |        161 |      1,222 |
| c:\xampp_new\htdocs\www\portfolio-boxed-titles-5col.html                 | HTML       |        934 |        112 |        160 |      1,206 |
| c:\xampp_new\htdocs\www\portfolio-boxed-titles-blackhover.html           | HTML       |        947 |        114 |        161 |      1,222 |
| c:\xampp_new\htdocs\www\portfolio-lazyload.html                          | HTML       |        895 |        106 |        156 |      1,157 |
| c:\xampp_new\htdocs\www\portfolio-masonry-2col.html                      | HTML       |        817 |         94 |        151 |      1,062 |
| c:\xampp_new\htdocs\www\portfolio-masonry-3col.html                      | HTML       |        817 |         94 |        151 |      1,062 |
| c:\xampp_new\htdocs\www\portfolio-masonry-4col.html                      | HTML       |        856 |        100 |        154 |      1,110 |
| c:\xampp_new\htdocs\www\portfolio-masonry-5col.html                      | HTML       |        895 |        106 |        157 |      1,158 |
| c:\xampp_new\htdocs\www\portfolio-masonry-blackhover.html                | HTML       |        856 |        100 |        154 |      1,110 |
| c:\xampp_new\htdocs\www\portfolio-parallax.html                          | HTML       |        783 |         84 |        168 |      1,035 |
| c:\xampp_new\htdocs\www\portfolio-promo.html                             | HTML       |        886 |        118 |        216 |      1,220 |
| c:\xampp_new\htdocs\www\portfolio-single-1.html                          | HTML       |        901 |        119 |        184 |      1,204 |
| c:\xampp_new\htdocs\www\portfolio-single-2.html                          | HTML       |        846 |        104 |        173 |      1,123 |
| c:\xampp_new\htdocs\www\portfolio-single-3.html                          | HTML       |        972 |        142 |        206 |      1,320 |
| c:\xampp_new\htdocs\www\portfolio-single-4.html                          | HTML       |        808 |         98 |        174 |      1,080 |
| c:\xampp_new\htdocs\www\portfolio-single-5.html                          | HTML       |        788 |        100 |        168 |      1,056 |
| c:\xampp_new\htdocs\www\portfolio-wide-2col.html                         | HTML       |        817 |         94 |        151 |      1,062 |
| c:\xampp_new\htdocs\www\portfolio-wide-3col.html                         | HTML       |        817 |         94 |        151 |      1,062 |
| c:\xampp_new\htdocs\www\portfolio-wide-4col.html                         | HTML       |        843 |         98 |        153 |      1,094 |
| c:\xampp_new\htdocs\www\portfolio-wide-5col.html                         | HTML       |        869 |        102 |        155 |      1,126 |
| c:\xampp_new\htdocs\www\portfolio-wide-blackhover.html                   | HTML       |        843 |         98 |        153 |      1,094 |
| c:\xampp_new\htdocs\www\portfolio-wide-gutter-2col.html                  | HTML       |        817 |         94 |        151 |      1,062 |
| c:\xampp_new\htdocs\www\portfolio-wide-gutter-3col.html                  | HTML       |        817 |         94 |        151 |      1,062 |
| c:\xampp_new\htdocs\www\portfolio-wide-gutter-4col.html                  | HTML       |        843 |         98 |        153 |      1,094 |
| c:\xampp_new\htdocs\www\portfolio-wide-gutter-5col.html                  | HTML       |        869 |        102 |        155 |      1,126 |
| c:\xampp_new\htdocs\www\portfolio-wide-gutter-blackhover.html            | HTML       |        843 |         98 |        153 |      1,094 |
| c:\xampp_new\htdocs\www\portfolio-wide-titles-2col.html                  | HTML       |        817 |         94 |        151 |      1,062 |
| c:\xampp_new\htdocs\www\portfolio-wide-titles-3col.html                  | HTML       |        817 |         94 |        151 |      1,062 |
| c:\xampp_new\htdocs\www\portfolio-wide-titles-4col.html                  | HTML       |        843 |         98 |        153 |      1,094 |
| c:\xampp_new\htdocs\www\portfolio-wide-titles-5col.html                  | HTML       |        869 |        102 |        155 |      1,126 |
| c:\xampp_new\htdocs\www\portfolio-wide-titles-blackhover.html            | HTML       |        843 |         98 |        153 |      1,094 |
| c:\xampp_new\htdocs\www\rs-plugin\css\settings-ie8.css                   | CSS        |        531 |         83 |        180 |        794 |
| c:\xampp_new\htdocs\www\rs-plugin\css\settings.css                       | CSS        |      1,742 |        141 |        462 |      2,345 |
| c:\xampp_new\htdocs\www\rs-plugin\font\revicons.svg                      | XML        |         54 |          0 |          0 |         54 |
| c:\xampp_new\htdocs\www\rs-plugin\js\jquery.themepunch.plugins.min.js    | JavaScript |          8 |         66 |         16 |         90 |
| c:\xampp_new\htdocs\www\rs-plugin\js\jquery.themepunch.revolution.js     | JavaScript |      4,088 |        542 |      1,599 |      6,229 |
