Date : 2022-01-06 10:04:09
Directory : c:\xampp_new\htdocs\www
Total : 270 files,  195118 codes, 28085 comments, 43323 blanks, all 266526 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\xampp_new\htdocs\www\special-cv-resume.html                           | HTML       |        477 |        100 |        149 |        726 |
| c:\xampp_new\htdocs\www\special-fashion.html                             | HTML       |      1,425 |        190 |        355 |      1,970 |
| c:\xampp_new\htdocs\www\special-finance-1.html                           | HTML       |        589 |        115 |        185 |        889 |
| c:\xampp_new\htdocs\www\special-finance-2-about.html                     | HTML       |        324 |         72 |         91 |        487 |
| c:\xampp_new\htdocs\www\special-finance-2-contact.html                   | HTML       |        290 |         65 |         97 |        452 |
| c:\xampp_new\htdocs\www\special-finance-2-expertise.html                 | HTML       |        263 |         58 |         78 |        399 |
| c:\xampp_new\htdocs\www\special-finance-2-portfolio.html                 | HTML       |        280 |         62 |         98 |        440 |
| c:\xampp_new\htdocs\www\special-finance-2-qa.html                        | HTML       |        241 |         52 |         74 |        367 |
| c:\xampp_new\htdocs\www\special-finance-2.html                           | HTML       |        412 |         82 |        127 |        621 |
| c:\xampp_new\htdocs\www\special-landing-1.html                           | HTML       |        400 |         93 |        123 |        616 |
| c:\xampp_new\htdocs\www\special-landing-2.html                           | HTML       |        504 |        130 |        179 |        813 |
| c:\xampp_new\htdocs\www\special-magazine-1.html                          | HTML       |      1,244 |        143 |        317 |      1,704 |
| c:\xampp_new\htdocs\www\special-magazine-2.html                          | HTML       |      1,293 |        157 |        327 |      1,777 |
| c:\xampp_new\htdocs\www\special-photographer-1-about.html                | HTML       |        270 |         60 |         94 |        424 |
| c:\xampp_new\htdocs\www\special-photographer-1-contact.html              | HTML       |        228 |         57 |         81 |        366 |
| c:\xampp_new\htdocs\www\special-photographer-1-portfolio.html            | HTML       |        290 |         66 |         69 |        425 |
| c:\xampp_new\htdocs\www\special-photographer-1.html                      | HTML       |        294 |         95 |         83 |        472 |
| c:\xampp_new\htdocs\www\special-photographer-2-about.html                | HTML       |        207 |         58 |         77 |        342 |
| c:\xampp_new\htdocs\www\special-photographer-2-contact.html              | HTML       |        226 |         65 |         82 |        373 |
| c:\xampp_new\htdocs\www\special-photographer-2-portfolio.html            | HTML       |        277 |         72 |         67 |        416 |
| c:\xampp_new\htdocs\www\special-photographer-2.html                      | HTML       |        290 |         68 |         72 |        430 |
| c:\xampp_new\htdocs\www\special-photographer-3-about.html                | HTML       |        207 |         58 |         77 |        342 |
| c:\xampp_new\htdocs\www\special-photographer-3-contact.html              | HTML       |        226 |         65 |         82 |        373 |
| c:\xampp_new\htdocs\www\special-photographer-3-portfolio.html            | HTML       |        277 |         72 |         67 |        416 |
| c:\xampp_new\htdocs\www\special-photographer-3.html                      | HTML       |        290 |         68 |         72 |        430 |
| c:\xampp_new\htdocs\www\special-product-designer-about.html              | HTML       |        302 |         67 |         82 |        451 |
| c:\xampp_new\htdocs\www\special-product-designer-contact.html            | HTML       |        188 |         50 |         41 |        279 |
| c:\xampp_new\htdocs\www\special-product-designer.html                    | HTML       |        162 |         47 |         39 |        248 |
| c:\xampp_new\htdocs\www\special-restaurant-1.html                        | HTML       |        601 |         87 |        160 |        848 |
| c:\xampp_new\htdocs\www\special-restaurant-2-about.html                  | HTML       |        254 |         61 |         62 |        377 |
| c:\xampp_new\htdocs\www\special-restaurant-2-gallery.html                | HTML       |        218 |         65 |         74 |        357 |
| c:\xampp_new\htdocs\www\special-restaurant-2-location.html               | HTML       |        190 |         49 |         52 |        291 |
| c:\xampp_new\htdocs\www\special-restaurant-2-menu.html                   | HTML       |        469 |         58 |        106 |        633 |
| c:\xampp_new\htdocs\www\special-restaurant-2-reservations.html           | HTML       |        226 |         54 |         69 |        349 |
| c:\xampp_new\htdocs\www\special-restaurant-2.html                        | HTML       |        291 |         78 |         76 |        445 |
| Total                                                                    |            |    195,118 |     28,085 |     43,323 |    266,526 |
+--------------------------------------------------------------------------+------------+------------+------------+------------+------------+
